"skjemanavn";"navn_i_rapporteket";"ledetekst";"obligatorisk";"type";"listeverdier";"listetekst";"normalintervall_start_numerisk";"normalintervall_slutt_numerisk";"maksintervall_start_numerisk";"maksintervall_slutt_numerisk";"normalintervall_start_dato";"normalintervall_slutt_dato";"maksintervall_start_dato";"maksintervall_slutt_dato";"antall_tegn";"lovlige_tegn";"desimaler";"aktiveringsspoersmaal";"underspoersmaal";"innfoert_dato";"utfaset_dato";"tabell";"fysisk_feltnavn";"kommentar";"variabel_id";"hjelpetekst"
"Personopplysninger";"PasientID";"PID";"Ja";"Tekstvariabel";"";"";"";"";"";"";"";"";"";"";11;1234567890;;"Nei";"Nei";"01.01.1980";"";"patient";"ID";;"PATIENT_ID";"Pasient ID - automatisk løpenummer i databasen."
"Personopplysninger";"DatoForInnhenti";"Dato for innhenting av opplysninger";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Nei";"01.01.1980";"";"patient";"REGISTERED_DATE";;"PATIENT_REGISTERED_DATE";"Skriv inn dato for innhentings tidspunkt for opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Foedselsdato";"Fødselsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1900";"today";;;;"Nei";"Nei";"01.01.1980";"";"patient";"BIRTH_DATE";;"PATIENT_BIRTH_DATE";"Pasientens fødselsdato. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Kjoenn";"Kjønn";"Ja";"Listevariabel";1;"Mann";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";"Kjoenn";"Kjønn";"Ja";"Listevariabel";2;"Kvinne";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";"Avdoed";"Avdød";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes. Feltet vil oppdateres automatisk fra folkeregisteret, foreløpig uten dødsdato."
"Personopplysninger";"Avdoed";"Avdød";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes. Feltet vil oppdateres automatisk fra folkeregisteret, foreløpig uten dødsdato."
"Personopplysninger";"Doedsdato";"Dødsdato";"Nei";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"patient";"DECEASED_DATE";;"PATIENT_DECEASED_DATE";"Skriv inn dato for dødsfall. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"PasientUnderOppf";"Pasient under oppfølging";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"CONTINUE_FOLLOWUP";;"PATIENT_CONTINUE_FOLLOWUP";"Feltet er satt på bakgrunn av siste oppfølging. Initielt satt til ja."
"Personopplysninger";"PasientUnderOppf";"Pasient under oppfølging";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"CONTINUE_FOLLOWUP";;"PATIENT_CONTINUE_FOLLOWUP";"Feltet er satt på bakgrunn av siste oppfølging. Initielt satt til ja."
"Personopplysninger";"Adressetype";"Adressetype";"Nei";"Listevariabel";1;"Norsk";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"ADDR_TYPE";;"PATIENT_ADDR_TYPE";"Er det en vanlig enkel norsk postadresse velg type 1, hvis ikke velg type 2 for fritekstadressefelt."
