"skjemanavn";"navn_i_rapporteket";"ledetekst";"obligatorisk";"type";"listeverdier";"listetekst";"normalintervall_start_numerisk";"normalintervall_slutt_numerisk";"maksintervall_start_numerisk";"maksintervall_slutt_numerisk";"normalintervall_start_dato";"normalintervall_slutt_dato";"maksintervall_start_dato";"maksintervall_slutt_dato";"antall_tegn";"lovlige_tegn";"desimaler";"aktiveringsspoersmaal";"underspoersmaal";"innfoert_dato";"utfaset_dato";"tabell";"fysisk_feltnavn";"kommentar";"variabel_id";"hjelpetekst"
"Personopplysninger";"PasientID";"PID";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;11;1234567890;;"Nei";"Nei";"1980-01-01";"";"patient";"ID";;"PATIENT_ID";"Pasient ID - automatisk løpenummer i databasen."
"Personopplysninger";;"Dato for innhenting av opplysninger";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"'1980-01-01'";"today";;;;"Nei";"Nei";"1980-01-01";"";"patient";"REGISTERED_DATE";;"PATIENT_REGISTERED_DATE";"Skriv inn dato for innhentings tidspunkt for opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Ikke overført";"Fødselsnummer";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;11;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;"Nei";"Nei";"1980-01-01";"";"patient";"SSN";;"PATIENT_SSN";"Skriv inn fødselsnummer. Om du velger norsk type, skal det være 11 siffer. For normale fødselsnummer gjelder fødselsdato og personnummer på format: ddmmyyxxxxx. Personopplysninger vil i dette tilfellet hentes automatisk fra folkeregisteret. Systemet støtter også D, F og FH-nummer. For andre nasjoners fødselsnummer velg eventuelt type ""annen""."
"Personopplysninger";"Ikke overført";"Etternavn";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;"Nei";"Nei";"1980-01-01";"";"patient";"LASTNAME";;"PATIENT_LASTNAME";"Skriv inn personens etternavn, maks 120 tegn."
"Personopplysninger";"Ikke overført";"Fornavn";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;"Nei";"Nei";"1980-01-01";"";"patient";"FIRSTNAME";;"PATIENT_FIRSTNAME";"Skriv inn personens fornavn og mellomnavn, max 120 tegn."
"Personopplysninger";;"Fødselsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"'1900-01-01'";"today";;;;"Nei";"Nei";"1980-01-01";"";"patient";"BIRTH_DATE";;"PATIENT_BIRTH_DATE";"Pasientens fødselsdato. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";;"Kjønn";"Ja";"Listevariabel";1;"Mann";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";;"Kjønn";"Ja";"Listevariabel";2;"Kvinne";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";;"Avdød";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes. Feltet vil oppdateres automatisk fra folkeregisteret, foreløpig uten dødsdato."
"Personopplysninger";;"Avdød";"Ja";"Listevariabel";1;"Ja";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes. Feltet vil oppdateres automatisk fra folkeregisteret, foreløpig uten dødsdato."
"Personopplysninger";;"Dødsdato";"Nei";"Datovariabel";"";"";"";"";"";"";"";"";"'1980-01-01'";"today";;;;"Nei";"Ja";"1980-01-01";"";"patient";"DECEASED_DATE";;"PATIENT_DECEASED_DATE";"Skriv inn dato for dødsfall. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";;"Pasient under oppfølging";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"CONTINUE_FOLLOWUP";;"PATIENT_CONTINUE_FOLLOWUP";"Feltet er satt på bakgrunn av siste oppfølging. Initielt satt til ja."
